algorithm,time
qs4,0.017998695373535156
qs5,0.015999317169189453
merge1,0.019002914428710938
partition_sort,0.008507013320922852
qs1,0.012020349502563477
qs2,0.01800084114074707
qs3,0.017997026443481445
qs4,0.017982006072998047
qs5,0.017005443572998047
merge1,0.01950693130493164
partition_sort,0.008002996444702148
qs1,0.012013673782348633
qs2,0.019985198974609375
qs3,0.018999099731445312
qs4,0.019006013870239258
qs5,0.017507314682006836
merge1,0.02100086212158203
partition_sort,0.01696300506591797
qs1,0.028085947036743164
qs2,0.03789258003234863
qs3,0.04052376747131348
qs4,0.0346677303314209
qs5,0.02767014503479004
merge1,0.025043964385986328
partition_sort,0.011562585830688477
qs1,0.017710208892822266
qs2,0.025023221969604492
qs3,0.024845600128173828
qs4,0.023000001907348633
qs5,0.021000146865844727
merge1,0.022019147872924805
partition_sort,0.011029720306396484
qs1,0.015554666519165039
qs2,0.02300095558166504
qs3,0.021077871322631836
qs4,0.02199578285217285
qs5,0.02102208137512207
merge1,0.02071404457092285
partition_sort,0.010000228881835938
qs1,0.015000343322753906
qs2,0.022095918655395508
qs3,0.020903587341308594
qs4,0.01951122283935547
qs5,0.01900172233581543
merge1,0.020998477935791016
partition_sort,0.00900125503540039
qs1,0.015017271041870117
qs2,0.020986557006835938
qs3,0.0205080509185791
qs4,0.021998167037963867
qs5,0.01800227165222168
merge1,0.020017623901367188
partition_sort,0.00897979736328125
qs1,0.013004541397094727
qs2,0.02056407928466797
qs3,0.019000530242919922
qs4,0.019998550415039062
qs5,0.01800060272216797
merge1,0.019045114517211914
partition_sort,0.009982824325561523
qs1,0.0145263671875
qs2,0.018002748489379883
qs3,0.019011974334716797
qs4,0.017984867095947266
qs5,0.018986940383911133
merge1,0.019507169723510742
partition_sort,0.007999897003173828
qs1,0.013000249862670898
qs2,0.01801776885986328
qs3,0.018982410430908203
qs4,0.017999649047851562
qs5,0.017198562622070312
merge1,0.01840996742248535
partition_sort,0.008095979690551758
qs1,0.01190042495727539
qs2,0.017998456954956055
qs3,0.018000364303588867
qs4,0.018019676208496094
qs5,0.01649022102355957
merge1,0.018000125885009766
partition_sort,0.009002923965454102
qs1,0.013017416000366211
qs2,0.018002986907958984
qs3,0.016998291015625
qs4,0.0182492733001709
qs5,0.0169832706451416
merge1,0.01899862289428711
partition_sort,0.008000612258911133
qs1,0.013019323348999023
qs2,0.018981218338012695
qs3,0.01800394058227539
qs4,0.01750659942626953
qs5,0.016028165817260742
merge1,0.01897144317626953
partition_sort,0.008000373840332031
qs1,0.01302957534790039
qs2,0.017974853515625
qs3,0.01850748062133789
qs4,0.017025232315063477
qs5,0.016993045806884766
merge1,0.01898193359375
partition_sort,0.008000612258911133
qs1,0.01299905776977539
qs2,0.01905059814453125
qs3,0.018093109130859375
qs4,0.019000768661499023
qs5,0.017998695373535156
merge1,0.017999887466430664
partition_sort,0.010000944137573242
qs1,0.014004230499267578
qs2,0.01950693130493164
qs3,0.01901531219482422
qs4,0.01800251007080078
qs5,0.01798248291015625
merge1,0.020003318786621094
partition_sort,0.007999658584594727
qs1,0.014509201049804688
qs2,0.020000457763671875
qs3,0.019999980926513672
qs4,0.01901984214782715
qs5,0.019005775451660156
merge1,0.020507335662841797
partition_sort,0.008983135223388672
qs1,0.014000177383422852
qs2,0.019999980926513672
qs3,0.02200174331665039
qs4,0.020025014877319336
qs5,0.017508268356323242
merge1,0.01999950408935547
partition_sort,0.00902557373046875
qs1,0.013974905014038086
qs2,0.01900005340576172
qs3,0.019028663635253906
qs4,0.020524978637695312
qs5,0.017981767654418945
merge1,0.019001483917236328
partition_sort,0.009016990661621094
qs1,0.013982295989990234
qs2,0.019004344940185547
qs3,0.019515514373779297
qs4,0.020000457763671875
qs5,0.01900315284729004
merge1,0.02213597297668457
partition_sort,0.009263038635253906
qs1,0.014061927795410156
qs2,0.021542787551879883
qs3,0.023519277572631836
qs4,0.02451944351196289
